featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
10155,3/4,93,0.018158
10156,3/4,70,0.019886
10158,3/4,22,0.013477
10159,3/4,1,0.011906
10160,3/4,42,0.013273
10161,3/4,240,0.047794
10162,3/4,45,0.035713
10163,3/4,77,0.020955
10164,3/4,37,0.01196
10165,3/4,78,0.014886
10166,3/4,70,0.012955
10167,3/4,260,0.013586
10168,3/4,158,0.032053
10169,3/4,90,0.032282
10170,3/4,372,0.023006
10171,3/4,10,0.020714
10172,3/4,31,0.015553
10173,3/4,49,0.01839
10174,3/4,299,0.057099
10175,3/4,267,0.04075
10176,3/4,1,0.043339
10177,3/4,24,0.030038
10178,3/4,5,0.0168
10179,3/4,35,0.012275
10180,3/4,104,0.027154
10181,3/4,30,0.01526
10182,3/4,121,0.024143
10183,3/4,2,0.011838
10184,3/4,26,0.002887
10185,3/4,328,0.014916
10186,3/4,169,0.015692
10187,3/4,433,0.012753
10188,3/4,4,0.006887
10189,3/4,1,0.022037
10190,3/4,120,0.020424
10191,3/4,176,0.026268
10192,3/4,3,0.03122
10193,3/4,9,0.016337
10195,3/4,977,0.173894
10196,3/4,180,0.033798
10197,3/4,98,0.011675
10198,3/4,218,0.013587
10199,3/4,220,0.014496
10200,3/4,144,0.01729
10201,3/4,108,0.016914
10202,3/4,27,0.014728
10203,3/4,57,0.005912
10204,3/4,93,0.010533
10205,3/4,108,0.021801
10206,3/4,23,0.029172
10207,3/4,813,0.07746
10208,3/4,320,0.040331
10209,3/4,6,0.018537
10210,3/4,2,0.014044
10211,3/4,88,0.037434
10212,3/4,123,0.041427
10213,3/4,53,0.012425
10214,3/4,89,0.017902
10215,3/4,151,0.013662
10216,3/4,120,0.016431
10217,3/4,78,0.014697
10218,3/4,90,0.011265
10219,3/4,70,0.015229
10220,3/4,25,0.010093
10221,3/4,128,0.046471
10222,3/4,62,0.00762
10223,3/4,23,0.012106
10224,3/4,22,0.01004
10225,3/4,23,0.009128
10226,3/4,68,0.038997
10227,3/4,220,0.04377
10228,3/4,2248,0.047396
10229,3/4,738,0.04349
10230,3/4,100,0.043854
10231,3/4,5,0.013928
10232,3/4,24,0.045668
10233,3/4,93,0.013947
10234,3/4,21,0.018866
10235,3/4,68,0.017382
10236,3/4,49,0.018031
10237,3/4,93,0.010692
10238,3/4,21,0.015486
10239,3/4,25,0.011529
10240,3/4,104,0.008065
10241,3/4,81,0.02099
10242,3/4,26,0.005776
10243,3/4,577,0.147451
10244,3/4,1487,0.324001
10245,3/4,350,0.031679
10246,3/4,217,0.026481
10247,3/4,362,0.046573
10248,3/4,72,0.059033
10249,3/4,60,0.02872
10250,3/4,394,0.040788
10251,3/4,158,0.117009
10252,3/4,68,0.038425
10253,3/4,4,0.044501
10254,3/4,111,0.01605
10255,3/4,14,0.018664
10256,3/4,15,0.018973
10257,3/4,151,0.023852
10258,3/4,19,0.005819
10259,3/4,115,0.006291
10260,3/4,117,0.019952
10261,3/4,4,0.239474
10262,3/4,24,0.034548
10263,3/4,3,0.010141
10264,3/4,32,0.009595
10265,3/4,77,0.033788
10266,3/4,1,0.039007
10267,3/4,27,0.037047
10268,3/4,95,0.038986
10269,3/4,240,0.032153
10270,3/4,27,0.022428
10271,3/4,24,0.037504
10272,3/4,262,0.123925
10273,3/4,389,0.121014
10274,3/4,547,0.10851
10275,3/4,938,0.201362
10276,3/4,199,0.19786
10277,3/4,138,0.024647
10278,3/4,150,0.017655
10279,3/4,7,0.018624
10280,3/4,165,0.023074
10281,3/4,66,0.012534
10282,3/4,139,0.020471
10283,3/4,22,0.006669
10284,3/4,46,0.250108
10285,3/4,141,0.03372
10286,3/4,7,0.034081
10287,3/4,32,0.043273
10288,3/4,15,0.036634
10289,3/4,39,0.034332
10290,3/4,17,0.034657
10291,3/4,18,0.03209
10292,3/4,588,0.043593
10293,3/4,245,0.051894
10294,3/4,48,0.121891
10295,3/4,173,0.0595
10296,3/4,6,0.128578
10297,3/4,951,0.026455
10298,3/4,251,0.047157
10299,3/4,73,0.041758
10300,3/4,110,0.072972
10301,3/4,440,0.356348
10302,3/4,190,0.30583
10304,3/4,189,0.059388
10305,3/4,3,0.014657
10306,3/4,7,0.008374
10307,3/4,1,0.008564
10308,3/4,122,0.032784
10309,3/4,1568,0.244187
10310,3/4,16,0.031374
10311,3/4,284,0.1272
10312,3/4,48,0.043663
10313,3/4,16,0.01849
10314,3/4,102,0.039947
10315,3/4,5,0.127841
10316,3/4,37,0.097985
10317,3/4,185,0.036432
10318,3/4,1014,0.030249
10319,3/4,3,0.07317
10320,3/4,1331,0.201031
10321,3/4,1073,0.10815
10322,3/4,104,0.025418
10323,3/4,16,0.01199
10324,3/4,6,0.009553
10325,3/4,41,0.043993
10326,3/4,7,0.024818
10327,3/4,65,0.154213
10328,3/4,76,0.046925
10329,3/4,747,0.073877
10330,3/4,140,0.018204
10331,3/4,88,0.190777
10332,3/4,268,0.402132
10333,3/4,32,0.169708
10334,3/4,105,0.312574
10335,3/4,963,0.086014
10336,3/4,110,0.06156
10337,3/4,78,0.050745
10338,3/4,40,0.062311
10339,3/4,33,0.032638
10340,3/4,17,0.045508
10341,3/4,187,0.063788
10342,3/4,106,0.070641
10343,3/4,51,0.034095
10344,3/4,55,0.054189
10345,3/4,199,0.014832
10346,3/4,13,0.061721
10347,3/4,5,0.051417
10348,3/4,17,0.162787
10349,3/4,400,0.175613
10350,3/4,9,0.246585
10351,3/4,222,0.067225
10352,3/4,3,0.07692
10353,3/4,103,0.05609
10354,3/4,36,0.136397
10355,3/4,1,0.072224
10356,3/4,45,0.083205
10357,3/4,35,0.114038
10358,3/4,43,0.109017
10359,3/4,30,0.046644
10361,3/4,30,0.049893
10362,3/4,60,0.050765
10363,3/4,12,0.035538
10364,3/4,1513,0.090243
10365,3/4,70,0.124525
10366,3/4,9,0.049199
10368,3/4,1,0.043586
10369,3/4,32,0.094717
10370,3/4,34,0.072584
10371,3/4,36,0.05308
10372,3/4,79,0.039729
10373,3/4,8,0.05221
10374,3/4,806,0.034655
10375,3/4,5,0.050551
10376,3/4,16,0.018915
10377,3/4,275,0.024101
10378,3/4,13,0.034592
10379,3/4,3311,0.2036
10380,3/4,3139,0.293979
10381,3/4,4,0.291086
10382,3/4,40,0.055083
10383,3/4,61,0.130537
10385,3/4,161,0.131551
10386,3/4,55,0.059696
10387,3/4,36,0.056434
10388,3/4,16,0.045307
10389,3/4,265,0.075938
10390,3/4,18,0.069262
10391,3/4,672,0.154284
10392,3/4,128,0.162607
10393,3/4,573,0.098012
10394,3/4,73,0.07869
10395,3/4,13,0.040613
10396,3/4,233,0.078936
10397,3/4,216,0.027973
10398,3/4,33,0.042757
10399,3/4,98,0.050126
10401,3/4,58,0.031636
10402,3/4,7408,0.194661
10403,3/4,483,0.119087
10404,3/4,1,0.074731
10405,3/4,46,0.073214
10406,3/4,51,0.079829
10407,3/4,36,0.068263
10408,3/4,102,0.113462
10409,3/4,136,0.130834
10410,3/4,169,0.047177
10411,3/4,21,0.37796
10413,3/4,101,0.062082
10414,3/4,42,0.065111
10415,3/4,844,0.113168
10416,3/4,31,0.083095
10417,3/4,36,0.099252
10418,3/4,407,0.111194
10419,3/4,233,0.059477
10420,3/4,124,0.113789
10421,3/4,41,0.069333
10422,3/4,46,0.049305
10423,3/4,117,0.045482
10424,3/4,65,0.043084
10425,3/4,361,0.037394
10428,3/4,2564,0.208882
10429,3/4,1479,0.108772
10430,3/4,813,0.221537
10431,3/4,31,0.124084
10432,3/4,23,0.101349
10433,3/4,211,0.097164
10434,3/4,567,0.101411
10435,3/4,36,0.396925
10436,3/4,184,0.062831
10437,3/4,6,0.041033
10438,3/4,172,0.116085
10439,3/4,52,0.148284
10440,3/4,86,0.132909
10441,3/4,42,0.064179
10443,3/4,349,0.141603
10444,3/4,195,0.100689
10445,3/4,2,0.211762
10446,3/4,49,0.13922
10447,3/4,32,0.127046
10448,3/4,78,0.04973
10449,3/4,117,0.028229
10450,3/4,70,0.039626
10453,3/4,432,0.227364
10454,3/4,185,0.116434
10455,3/4,525,0.101809
10456,3/4,285,0.121105
10457,3/4,29,0.141642
10458,3/4,9,0.111552
10459,3/4,503,0.086605
10460,3/4,49,0.077255
10461,3/4,6,0.170558
10462,3/4,389,0.11343
10463,3/4,135,0.116014
10464,3/4,493,0.147469
10465,3/4,244,0.060013
10466,3/4,310,0.088563
10467,3/4,157,0.132925
10468,3/4,99,0.154379
10469,3/4,59,0.069186
10470,3/4,291,0.099333
10471,3/4,21,0.093088
10472,3/4,64,0.094839
10473,3/4,1,0.128598
10474,3/4,473,0.114638
10475,3/4,413,0.148294
10476,3/4,385,0.118596
10477,3/4,251,0.106156
10478,3/4,7,0.134918
10479,3/4,312,0.254081
10480,3/4,25,0.200875
10481,3/4,6,0.12256
10482,3/4,52,0.115575
10483,3/4,406,0.170614
10484,3/4,184,0.16833
10485,3/4,15,0.110779
10486,3/4,100,0.087812
10487,3/4,111,0.053269
10488,3/4,23,0.037629
10489,3/4,1,0.047227
10493,3/4,388,0.222251
10494,3/4,12,0.078233
10495,3/4,600,0.131662
10496,3/4,1023,0.095242
10497,3/4,24,0.076578
10498,3/4,352,0.068316
10499,3/4,142,0.151367
10500,3/4,436,0.138871
10501,3/4,42,0.044844
10502,3/4,40,0.082634
10503,3/4,43,0.079497
10504,3/4,17,0.07971
10505,3/4,43,0.142629
10506,3/4,34,0.175741
10507,3/4,35,0.119977
10508,3/4,55,0.130444
10509,3/4,546,0.133032
10510,3/4,72,0.090418
10511,3/4,35,0.116468
10512,3/4,27,0.058074
10513,3/4,46,0.058339
10515,3/4,29,0.063961
10516,3/4,50,0.079036
10517,3/4,46,0.146535
10518,3/4,1,0.135905
10519,3/4,20,0.152344
10520,3/4,105,0.155345
10521,3/4,217,0.129232
10522,3/4,287,0.125952
10523,3/4,279,0.131938
10524,3/4,98,0.131712
10525,3/4,42,0.106932
10526,3/4,227,0.262598
10527,3/4,58,0.203667
10528,3/4,8,0.105985
10529,3/4,37,0.142284
10530,3/4,98,0.137304
10531,3/4,42,0.130051
10532,3/4,1,0.145874
10533,3/4,298,0.24508
10534,3/4,74,0.099215
10535,3/4,166,0.107014
10536,3/4,32,0.064122
10537,3/4,12,0.026982
10538,3/4,91,0.039587
10539,3/4,584,0.026086
10540,3/4,65,0.030876
